filename,x,y
3496334.jpg,-3.5488749,7.419632
7275840.jpg,-12.32632,2.7147298
0034546.jpg,-6.545966,-4.6676345
0081554.jpg,11.19804,-7.0437145
0474427.jpg,-1.413038,8.601328
0218886.jpg,3.5994818,6.059085
0300902.jpg,19.142117,-4.2183003
1371711.jpg,-5.617975,3.6141076
0057247.jpg,-2.2471035,11.145072
4950110.jpg,-3.8672023,-3.350146
3893620.jpg,9.386229,-8.66693
0155197.jpg,12.995683,-6.895598
0013372.jpg,-11.569988,4.241694
0455940.jpg,-11.237118,5.5827127
0084637.jpg,-13.436122,-0.26511076
0080040.jpg,3.1151006,-6.04424
0475532.jpg,16.409832,-4.6602907
0784972.jpg,-9.563775,1.5158533
7269700.jpg,-3.08777,-6.019716
0111549.jpg,-13.834423,2.3853025
0903849.jpg,9.888581,-7.221075
0044060.jpg,-17.164467,6.347164
1059786.jpg,4.470702,3.7383714
0051649.jpg,-5.532967,-5.0208817
0892074.jpg,18.819578,-6.3259845
0076391.jpg,-12.934786,2.8070953
3766382.jpg,-8.0717535,-4.434288
0083307.jpg,4.45208,-12.2551155
6997574.jpg,-1.7059951,-6.0998545
1791611.jpg,-12.400701,-3.1921787
2250426.jpg,-0.37589929,-10.057345
1176931.jpg,-3.8871143,14.426411
4206464.jpg,7.005601,-7.181199
4012424.jpg,-3.2129276,-0.8993425
0065138.jpg,-3.2929194,15.249291
0063050.jpg,-4.59598,16.504114
0044931.jpg,-6.5548763,3.8462486
1358383.jpg,5.464435,5.5562806
3387266.jpg,-12.303922,2.1585448
0020446.jpg,-1.7330327,-7.6424303
2073128.jpg,4.4906683,7.402192
10675136.jpg,12.619821,4.2260704
0087414.jpg,-1.4360936,12.429743
0064616.jpg,-5.972942,14.901201
1087461.jpg,11.275308,-6.474421
0337579.jpg,8.899387,-7.6559243
3344694.jpg,5.939864,4.1420627
3082854.jpg,-2.037929,15.933829
0114669.jpg,-7.9577656,-7.753657
0106241.jpg,13.056497,-13.255374
3605164.jpg,0.76337063,-11.228485
0067896.jpg,-4.7251277,-4.0231657
0796302.jpg,-7.1691647,-4.084561
0057490.jpg,13.524692,-7.1680994
1103963.jpg,13.742393,-5.2782454
1340765.jpg,-0.29566947,-5.7747207
0047508.jpg,-8.883298,12.934554
2776074.jpg,-1.8471969,-2.5024118
0166408.jpg,0.38440576,0.19815025
0443295.jpg,2.8315475,4.204294
2355462.jpg,17.133045,0.23961449
0424272.jpg,13.702818,1.3885052
0173906.jpg,-0.40680334,7.1890197
0106450.jpg,-1.1927863,6.977422
0097379.jpg,-5.598026,16.818312
0327890.jpg,5.294633,0.19749615
2936174.jpg,10.630903,-9.002891
0095483.jpg,2.7481434,12.490601
0042219.jpg,-6.1786523,0.45850345
0060594.jpg,-3.8819513,-5.742629
0160498.jpg,-2.7489498,12.820773
2660888.jpg,2.7594419,7.394938
0343594.jpg,-13.178169,2.9897609
0046711.jpg,-6.441868,-7.0773363
0119257.jpg,1.6995121,1.0673218
1326733.jpg,2.0721114,8.963966
0061320.jpg,-7.7400317,0.43921155
0036009.jpg,-12.346223,-8.110297
5342650.jpg,6.0172853,11.481054
0135674.jpg,-10.795073,2.6611714
0212235.jpg,11.272266,6.248124
3983738.jpg,2.3655636,5.3908496
0074157.jpg,15.743326,-6.7247605
0455958.jpg,12.4655905,-12.902554
7879350.jpg,-3.2810473,19.102964
0113369.jpg,13.9084015,-5.500245
5058340.jpg,11.957106,5.1809945
1815782.jpg,17.155302,-7.5787683
0098251.jpg,11.720188,-9.968023
0036275.jpg,-7.5399675,-3.0807133
1414840.jpg,-2.1328604,7.0924
0096156.jpg,-5.4335647,-7.468742
2084773.jpg,-1.8968881,-8.051025
